"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AMOTL2",4.04079288530633e-145,1.65666644682558,0.143,0.043,1.07125460182356e-140
"SFN",3.01082752269251e-301,1.65557644665801,0.401,0.168,7.98200484541012e-297
"KCNK1",2.13382887294055e-160,1.64669171748196,0.202,0.074,5.65699372505269e-156
"MYEOV2",0,1.64160552499194,0.546,0.197,0
"WASH1",6.13642871425672e-141,1.63898493307151,0.165,0.057,1.6268286164366e-136
"CTD-2020K17.4",1.35689216157487e-195,1.63818766859926,0.196,0.061,3.59725680955115e-191
"RP11-108M9.4",8.16020101702897e-119,1.62997371570888,0.136,0.046,2.16335089162455e-114
"HBA2",3.03460241319234e-236,1.62946387620083,0.257,0.088,8.04503445761421e-232
"EGFR",2.25883283043578e-195,1.62322980340103,0.212,0.07,5.9883917167683e-191
"EIF3J-AS1",7.9124205491724e-172,1.62254909181511,0.182,0.058,2.09766181179109e-167
"ASS1",9.05788065772661e-259,1.61382884029838,0.324,0.127,2.4013347411699e-254
"RP11-140K17.3",2.07371525135688e-157,1.61116935036041,0.173,0.057,5.49762650287224e-153
"KLF5",1.98534706756116e-301,1.61072947175219,0.455,0.229,5.26335361081139e-297
"PAPD4",2.3939559059091e-107,1.60323793112961,0.127,0.043,6.3466165021556e-103
"GLTSCR2",0,1.60244368587707,0.636,0.237,0
"TSPAN7",6.30042985321244e-99,1.60076420595773,0.109,0.036,1.67030695838515e-94
"SELM",0,1.59767305329905,0.559,0.179,0
"EPHB6",7.10644424201988e-157,1.59696149415467,0.146,0.042,1.88398943300189e-152
"CX3CL1",0,1.59504024553821,0.313,0.1,0
"VIMP",0,1.59496686630983,0.356,0.12,0
"CTC-444N24.11",4.43209381301617e-131,1.59437488604838,0.155,0.054,1.17499239076872e-126
"TGM2",0,1.59094277571313,0.344,0.12,0
"GATA3",5.68690731628016e-279,1.58788601516324,0.18,0.037,1.50765599861903e-274
"RP11-532F12.5",0,1.58214697904055,0.409,0.151,0
"NT5E",4.93051780565299e-120,1.57997418408131,0.106,0.029,1.30712957545666e-115
"CYYR1",5.17213054001864e-101,1.5790943529494,0.102,0.031,1.37118352746434e-96
"RTFDC1",5.7514660065954e-218,1.57508923417979,0.263,0.096,1.52477115300851e-213
"TM4SF1-AS1",3.25536291293092e-102,1.57424719239286,0.109,0.035,8.63029261847115e-98
"SELE",1.50363365261289e-156,1.57374801520272,0.149,0.043,3.98628317644204e-152
"AC090498.1",0,1.57352509148659,0.602,0.223,0
"RIC3",0,1.57178823464321,0.241,0.06,0
