"Gene","sample_id","Expression"
"MMP9","TCGA-G9-6343-01",7.6041
"MMP9","TCGA-EJ-7327-01",6.7652
"MMP9","TCGA-G9-6362-11",4.1547
"MMP9","TCGA-KK-A7B3-01",10.5994
"MMP9","TCGA-EJ-7793-11",5.5675
"MMP9","TCGA-G9-6363-01",7.0616
"MMP9","TCGA-CH-5768-11",2.735
"MMP9","TCGA-G9-6365-11",2.3016
"MMP9","TCGA-XK-AAJR-01",5.0622
"MMP9","TCGA-M7-A722-01",3.7575
"MMP9","TCGA-HC-7817-01",9.3164
"MMP9","TCGA-KK-A6E2-01",8.014
"MMP9","TCGA-HC-8260-01",5.2176
"MMP9","TCGA-G9-6367-01",6.4097
"MMP9","TCGA-G9-6369-01",4.021
"MMP9","TCGA-G9-6338-01",6.6764
"MMP9","TCGA-HC-8262-11",3.2081
"MMP9","TCGA-XK-AAJU-01",7.6317
"MMP9","TCGA-EJ-7786-01",6.5468
"MMP9","TCGA-HC-7209-01",7.0386
"MMP9","TCGA-CH-5792-01",8.2397
"MMP9","TCGA-CH-5751-01",10.1856
"MMP9","TCGA-HC-A4ZV-01",10.0722
"MMP9","TCGA-J4-8200-01",8.6127
"MMP9","TCGA-2A-AAYO-01",9.805
"MMP9","TCGA-HC-A632-01",8.98
"MMP9","TCGA-G9-6496-11",6.3413
"MMP9","TCGA-EJ-5519-01",8.0776
"MMP9","TCGA-YL-A8SK-01",5.208
"MMP9","TCGA-J4-AATV-01",6.4178
"MMP9","TCGA-HI-7170-01",7.4182
"MMP9","TCGA-CH-5752-01",4.5586
"MMP9","TCGA-EJ-7312-01",7.0604
"MMP9","TCGA-KK-A6DY-01",10.1166
"MMP9","TCGA-G9-6384-01",7.2657
"MMP9","TCGA-CH-5767-01",6.6539
"MMP9","TCGA-YL-A9WL-01",7.1598
"MMP9","TCGA-ZG-A9LB-01",7.2956
"MMP9","TCGA-HC-7744-01",7.239
"MMP9","TCGA-H9-7775-01",8.2151
"MMP9","TCGA-EJ-7794-11",8.6583
"MMP9","TCGA-KC-A4BN-01",5.6446
"MMP9","TCGA-KK-A7B1-01",6.4854
"MMP9","TCGA-EJ-7123-01",7.8786
"MMP9","TCGA-CH-5746-01",7.3598
"MMP9","TCGA-V1-A8MJ-01",10.8851
"MMP9","TCGA-J4-AATZ-01",7.4815
"MMP9","TCGA-HC-A76X-01",7.8664
"MMP9","TCGA-CH-5763-01",7.8042
"MMP9","TCGA-G9-7523-01",8.6914
"MMP9","TCGA-EJ-A7NM-01",8.9354
"MMP9","TCGA-VP-A878-01",8.3642
"MMP9","TCGA-EJ-7115-01",4.6605
"MMP9","TCGA-EJ-5530-01",6.7362
"MMP9","TCGA-EJ-A7NN-01",7.3446
"MMP9","TCGA-EJ-A7NH-01",4.0651
"MMP9","TCGA-CH-5762-01",8.661
"MMP9","TCGA-G9-6365-01",6.38
"MMP9","TCGA-CH-5741-01",6.0594
"MMP9","TCGA-EJ-5512-01",7.0676
"MMP9","TCGA-V1-A9OQ-01",7.5548
"MMP9","TCGA-EJ-8474-01",8.707
"MMP9","TCGA-EJ-7328-01",8.22
"MMP9","TCGA-M7-A71Y-01",8.0647
"MMP9","TCGA-CH-5740-01",6.848
"MMP9","TCGA-EJ-5521-01",8.348
"MMP9","TCGA-EJ-5494-01",8.4896
"MMP9","TCGA-G9-6351-11",4.0057
"MMP9","TCGA-G9-6342-11",3.9906
"MMP9","TCGA-V1-A9OF-01",4.6779
"MMP9","TCGA-HC-7747-01",7.4577
"MMP9","TCGA-G9-6499-11",6.27
"MMP9","TCGA-HC-7820-01",5.7063
"MMP9","TCGA-EJ-5525-01",8.1181
"MMP9","TCGA-4L-AA1F-01",12.4285
"MMP9","TCGA-EJ-7325-01",8.7803
"MMP9","TCGA-KK-A8I5-01",8.7533
"MMP9","TCGA-ZG-A9L5-01",6.1797
"MMP9","TCGA-G9-7525-01",6.087
"MMP9","TCGA-XA-A8JR-01",7.8082
"MMP9","TCGA-HC-8257-01",6.1434
"MMP9","TCGA-KK-A8ID-01",7.6022
"MMP9","TCGA-YL-A9WJ-01",8.4603
"MMP9","TCGA-EJ-A6RA-01",7.0786
"MMP9","TCGA-CH-5794-01",8.3159
"MMP9","TCGA-FC-A6HD-01",6.8353
"MMP9","TCGA-EJ-A7NG-01",6.2824
"MMP9","TCGA-EJ-A65J-01",6.5528
"MMP9","TCGA-J4-A67T-01",8.5393
"MMP9","TCGA-V1-A8WV-01",7.5222
"MMP9","TCGA-V1-A9Z9-01",8.029
"MMP9","TCGA-CH-5767-11",3.9973
"MMP9","TCGA-V1-A9OL-01",8.577
"MMP9","TCGA-G9-7519-01",6.4067
"MMP9","TCGA-ZG-A9MC-01",10.9057
"MMP9","TCGA-VN-A943-01",5.8137
"MMP9","TCGA-FC-A4JI-01",6.3717
"MMP9","TCGA-HC-8264-01",3.716
"MMP9","TCGA-EJ-5507-01",8.0339
"MMP9","TCGA-EJ-5495-01",9.1423
"MMP9","TCGA-J9-A52D-01",7.0795
"MMP9","TCGA-V1-A8MU-01",8.8675
"MMP9","TCGA-EJ-5497-01",8.1778
"MMP9","TCGA-G9-6378-01",5.0448
"MMP9","TCGA-EJ-7797-01",7.4062
"MMP9","TCGA-ZG-A9L6-01",5.9207
"MMP9","TCGA-HC-A631-01",5.409
"MMP9","TCGA-V1-A8WS-01",5.4634
"MMP9","TCGA-HC-A6AS-01",10.8708
"MMP9","TCGA-J9-A8CP-01",5.438
"MMP9","TCGA-EJ-A8FO-11",3.3146
"MMP9","TCGA-YL-A8HL-01",6.8971
"MMP9","TCGA-EJ-A7NF-01",8.9225
"MMP9","TCGA-EJ-7218-01",7.8585
"MMP9","TCGA-HC-7740-01",5.8477
"MMP9","TCGA-KK-A7AY-01",5.691
"MMP9","TCGA-CH-5790-01",8.8929
"MMP9","TCGA-CH-5769-01",6.3148
"MMP9","TCGA-WW-A8ZI-01",8.0051
"MMP9","TCGA-G9-6347-01",8.8642
"MMP9","TCGA-KK-A8IF-01",4.5258
"MMP9","TCGA-2A-A8VX-01",2.0083
"MMP9","TCGA-HC-7233-01",8.0229
"MMP9","TCGA-Y6-A8TL-01",6.387
"MMP9","TCGA-XK-AAJP-01",3.6854
"MMP9","TCGA-HC-7748-01",8.0439
"MMP9","TCGA-XJ-A83H-01",6.631
"MMP9","TCGA-KC-A7FD-01",6.9049
"MMP9","TCGA-FC-7961-01",6.8521
"MMP9","TCGA-EJ-A8FP-01",7.2034
"MMP9","TCGA-G9-A9S0-01",8.1175
"MMP9","TCGA-V1-A9OT-01",6.186
"MMP9","TCGA-ZG-A9N3-01",7.9516
"MMP9","TCGA-G9-6363-11",8.5773
"MMP9","TCGA-VN-A88M-01",4.7061
"MMP9","TCGA-CH-5750-01",9.3699
"MMP9","TCGA-HC-7742-11",6.7936
"MMP9","TCGA-ZG-A9LU-01",8.2403
"MMP9","TCGA-J9-A8CL-01",8.4931
"MMP9","TCGA-HC-A6AO-01",8.1812
"MMP9","TCGA-VP-AA1N-01",8.7367
"MMP9","TCGA-KK-A6E7-01",7.6048
"MMP9","TCGA-KC-A7F6-01",7.5776
"MMP9","TCGA-HC-7211-01",8.1367
"MMP9","TCGA-KC-A4BV-01",5.4234
"MMP9","TCGA-KK-A8IH-01",7.9935
"MMP9","TCGA-2A-A8VV-01",5.6559
"MMP9","TCGA-QU-A6IM-01",6.7889
"MMP9","TCGA-XK-AAJT-01",7.6537
"MMP9","TCGA-HC-7210-01",8.212
"MMP9","TCGA-ZG-A8QZ-01",7.5064
"MMP9","TCGA-ZG-A9ND-01",3.2173
"MMP9","TCGA-J4-A67O-01",7.0229
"MMP9","TCGA-XK-AAJ3-01",6.1355
"MMP9","TCGA-YL-A8SB-01",5.761
"MMP9","TCGA-HC-7738-11",2.6218
"MMP9","TCGA-G9-6385-01",6.7858
"MMP9","TCGA-YL-A8HM-01",8.1352
"MMP9","TCGA-X4-A8KS-01",7.5023
"MMP9","TCGA-EJ-7785-01",8.4357
"MMP9","TCGA-HC-7752-01",8.9417
"MMP9","TCGA-YL-A8SP-01",1.9863
"MMP9","TCGA-EJ-5526-01",8.6493
"MMP9","TCGA-EJ-7314-01",5.1178
"MMP9","TCGA-J4-A67S-01",7.8491
"MMP9","TCGA-YJ-A8SW-01",6.015
"MMP9","TCGA-V1-A9ZG-01",6.6232
"MMP9","TCGA-FC-A8O0-01",5.4511
"MMP9","TCGA-ZG-A9NI-01",5.5026
"MMP9","TCGA-G9-7510-01",9.5651
"MMP9","TCGA-EJ-5502-01",8.3521
"MMP9","TCGA-YL-A8S8-01",5.9753
"MMP9","TCGA-EJ-7327-11",4.1306
"MMP9","TCGA-X4-A8KQ-01",8.3567
"MMP9","TCGA-EJ-5516-01",6.5256
"MMP9","TCGA-CH-5748-01",7.0346
"MMP9","TCGA-HC-7078-01",6.959
"MMP9","TCGA-ZG-A8QX-01",6.1877
"MMP9","TCGA-HC-7230-01",7.5521
"MMP9","TCGA-EJ-5542-01",5.7756
"MMP9","TCGA-KK-A8I9-01",7.4829
"MMP9","TCGA-HC-8266-01",8.0811
"MMP9","TCGA-G9-6370-01",6.8702
"MMP9","TCGA-HC-7080-01",6.0215
"MMP9","TCGA-G9-6353-01",5.2473
"MMP9","TCGA-HC-8262-01",5.8388
"MMP9","TCGA-G9-6333-01",5.5007
"MMP9","TCGA-EJ-A46I-01",4.4397
"MMP9","TCGA-EJ-AB20-01",4.4644
"MMP9","TCGA-M7-A724-01",6.3629
"MMP9","TCGA-CH-5768-01",8.9308
"MMP9","TCGA-G9-6494-01",4.0525
"MMP9","TCGA-CH-5788-01",8.7149
"MMP9","TCGA-J4-A6M7-01",7.4883
"MMP9","TCGA-EJ-A8FU-01",6.7284
"MMP9","TCGA-M7-A721-01",8.3633
"MMP9","TCGA-G9-6496-01",5.5539
"MMP9","TCGA-TP-A8TV-01",6.1772
"MMP9","TCGA-QU-A6IP-01",8.674
"MMP9","TCGA-J9-A8CN-01",5.8009
"MMP9","TCGA-EJ-5524-01",7.6158
"MMP9","TCGA-G9-6498-01",8.5129
"MMP9","TCGA-HC-A8D0-01",8.5283
"MMP9","TCGA-V1-A8WN-01",3.8459
"MMP9","TCGA-EJ-7318-01",5.6984
"MMP9","TCGA-HC-7750-01",7.4969
"MMP9","TCGA-EJ-A65M-01",8.6256
"MMP9","TCGA-ZG-A8QW-01",8.8531
"MMP9","TCGA-CH-5754-01",9.3816
"MMP9","TCGA-EJ-5522-01",7.134
"MMP9","TCGA-EJ-7792-11",7.6456
"MMP9","TCGA-HC-8265-01",7.4295
"MMP9","TCGA-EJ-5501-01",7.17
"MMP9","TCGA-YL-A8SJ-01",7.6127
"MMP9","TCGA-ZG-A9L2-01",7.9046
"MMP9","TCGA-YL-A8HO-01",6.1627
"MMP9","TCGA-YL-A8SL-01",6.553
"MMP9","TCGA-EJ-A46G-01",6.9897
"MMP9","TCGA-M7-A720-01",8.1518
"MMP9","TCGA-HC-8259-11",3.2042
"MMP9","TCGA-M7-A725-01",7.9375
"MMP9","TCGA-CH-5753-01",8.5221
"MMP9","TCGA-V1-A9O9-01",9.9746
"MMP9","TCGA-EJ-7125-01",7.568
"MMP9","TCGA-G9-7522-01",8.2763
"MMP9","TCGA-XK-AAK1-01",6.6622
"MMP9","TCGA-G9-A9S7-01",7.5268
"MMP9","TCGA-EJ-A8FS-01",8.3399
"MMP9","TCGA-G9-6366-01",6.9274
"MMP9","TCGA-KC-A7F3-01",5.8733
"MMP9","TCGA-XJ-A9DI-01",10.1208
"MMP9","TCGA-J4-A83J-11",7.1711
"MMP9","TCGA-EJ-7784-11",8.2941
"MMP9","TCGA-XJ-A9DK-01",9.4942
"MMP9","TCGA-HC-8256-01",6.6668
"MMP9","TCGA-KK-A59Z-01",8.8432
"MMP9","TCGA-KK-A7AU-01",3.1641
"MMP9","TCGA-G9-6356-11",4.8667
"MMP9","TCGA-EJ-7331-01",8.4138
"MMP9","TCGA-VP-A875-01",5.2972
"MMP9","TCGA-ZG-A9M4-01",9.0575
"MMP9","TCGA-V1-A8MM-01",4.5589
"MMP9","TCGA-EJ-5532-01",6.148
"MMP9","TCGA-KK-A8IL-01",7.8014
"MMP9","TCGA-ZG-A9LM-01",8.9314
"MMP9","TCGA-V1-A8X3-01",7.5627
"MMP9","TCGA-EJ-7317-11",4.2322
"MMP9","TCGA-EJ-7115-11",4.5704
"MMP9","TCGA-EJ-5518-01",7.6022
"MMP9","TCGA-QU-A6IL-01",9.2416
"MMP9","TCGA-2A-A8VT-01",7.2559
"MMP9","TCGA-HC-7081-01",7.4982
"MMP9","TCGA-YL-A8SC-01",9.1404
"MMP9","TCGA-J4-A83J-01",8.4053
"MMP9","TCGA-J4-A6G1-01",11.0438
"MMP9","TCGA-HC-7231-01",8.9624
"MMP9","TCGA-G9-6339-01",5.4775
