"sample_id","MMP9","MMP2","MAPK3","MAPK1","TWIST1","SNAI1"
"TCGA-G9-A9S4-01",5.5232,8.8207,10.5317,10.9687,9.2573,3.9202
"TCGA-J4-8198-01",6.3238,11.6812,9.4344,11.7104,8.1521,5.0177
"TCGA-CH-5745-01",8.3098,11.7586,10.3595,11.6107,8.1134,5.8283
"TCGA-EJ-7784-01",7.0397,10.2306,9.2342,11.6085,8.9615,3.8693
"TCGA-V1-A9OH-01",6.8515,10.7743,9.981,11.5215,8.8647,4.9951
"TCGA-G9-6343-01",7.6041,10.384,10.3842,11.2997,6.839,4.146
"TCGA-EJ-7327-01",6.7652,11.6166,9.9828,11.9207,7.0293,4.6252
"TCGA-KK-A7B3-01",10.5994,11.9521,10.3747,11.0953,9.5076,6.3014
"TCGA-G9-6363-01",7.0616,10.7347,9.3485,11.2719,7.1477,4.1247
"TCGA-XK-AAJR-01",5.0622,9.8004,9.959,11.6213,4.9983,4.7878
"TCGA-M7-A722-01",3.7575,9.7073,10.1099,9.9417,5.6752,3.9646
"TCGA-HC-7817-01",9.3164,11.6645,9.9703,11.6643,9.1381,4.9514
"TCGA-KK-A6E2-01",8.014,10.0512,9.558,11.5512,8.858,3.9443
"TCGA-HC-8260-01",5.2176,11.0699,9.88,11.4951,7.1631,4.5457
"TCGA-G9-6367-01",6.4097,10.9175,10.1212,11.8321,4.8523,5.0521
"TCGA-G9-6369-01",4.021,10.5736,10.1574,11.3424,8.4898,5.1407
"TCGA-G9-6338-01",6.6764,11.7814,10.0351,11.0275,7.6271,6.4663
"TCGA-XK-AAJU-01",7.6317,10.0668,10.5129,11.374,4.2842,4.953
"TCGA-EJ-7786-01",6.5468,11.0132,9.7821,11.9556,5.4255,4.4352
"TCGA-HC-7209-01",7.0386,10.357,9.7226,11.7417,7.6522,4.4275
"TCGA-CH-5792-01",8.2397,11.5121,10.3619,11.7943,6.7146,5.8428
"TCGA-CH-5751-01",10.1856,10.2249,10.0683,11.6548,8.1679,7.2684
"TCGA-HC-A4ZV-01",10.0722,12.0031,9.5946,11.3636,8.9292,6.0625
"TCGA-J4-8200-01",8.6127,11.1026,9.6629,11.8139,4.601,6.1171
"TCGA-2A-AAYO-01",9.805,11.1182,10.0727,11.477,8.3608,5.3149
"TCGA-HC-A632-01",8.98,11.9866,9.9369,11.9003,7.8863,4.2633
"TCGA-EJ-5519-01",8.0776,10.3687,10.1477,12.1371,7.7485,4.6419
"TCGA-YL-A8SK-01",5.208,11.2113,10.5139,11.3333,6.684,6.6219
"TCGA-J4-AATV-01",6.4178,11.5365,10.0863,11.3209,6.5276,7.4342
"TCGA-HI-7170-01",7.4182,13.0202,10.5239,11.4939,6.217,6.96
"TCGA-CH-5752-01",4.5586,10.248,9.9383,12.0005,5.8189,5.8106
"TCGA-EJ-7312-01",7.0604,9.8613,10.7487,11.1173,7.2992,3.9233
"TCGA-KK-A6DY-01",10.1166,10.3033,10.0123,11.4433,7.5371,7.1894
"TCGA-G9-6384-01",7.2657,10.6345,9.9812,11.7301,6.3834,6.1217
"TCGA-CH-5767-01",6.6539,10.2693,9.8861,11.8637,5.6788,5.829
