"sample_id","SERPINB1_Beta","Gene","Expression"
"TCGA-CH-5771-01",0.44361,"MMP9",8.0587
"TCGA-CH-5771-01",0.44361,"MMP2",12.0715
"TCGA-CH-5771-01",0.44361,"MAPK3",10.5251
"TCGA-CH-5771-01",0.44361,"MAPK1",11.5755
"TCGA-CH-5771-01",0.44361,"TWIST1",8.4926
"TCGA-CH-5771-01",0.44361,"SNAI1",6.7915
"TCGA-CH-5772-01",0.66154,"MMP9",5.816
"TCGA-CH-5772-01",0.66154,"MMP2",9.6864
"TCGA-CH-5772-01",0.66154,"MAPK3",9.9729
"TCGA-CH-5772-01",0.66154,"MAPK1",11.6188
"TCGA-CH-5772-01",0.66154,"TWIST1",8.0882
"TCGA-CH-5772-01",0.66154,"SNAI1",5.0277
"TCGA-CH-5788-01",0.75824,"MMP9",8.7149
"TCGA-CH-5788-01",0.75824,"MMP2",9.3657
"TCGA-CH-5788-01",0.75824,"MAPK3",9.4648
"TCGA-CH-5788-01",0.75824,"MAPK1",11.6906
"TCGA-CH-5788-01",0.75824,"TWIST1",9.3435
"TCGA-CH-5788-01",0.75824,"SNAI1",4.6328
"TCGA-CH-5789-01",0.26311,"MMP9",4.9703
"TCGA-CH-5789-01",0.26311,"MMP2",11.0095
"TCGA-CH-5789-01",0.26311,"MAPK3",9.4928
"TCGA-CH-5789-01",0.26311,"MAPK1",11.8568
"TCGA-CH-5789-01",0.26311,"TWIST1",4.8831
"TCGA-CH-5789-01",0.26311,"SNAI1",7.6967
"TCGA-CH-5790-01",0.72167,"MMP9",8.8929
"TCGA-CH-5790-01",0.72167,"MMP2",9.7242
"TCGA-CH-5790-01",0.72167,"MAPK3",9.621
"TCGA-CH-5790-01",0.72167,"MAPK1",11.765
"TCGA-CH-5790-01",0.72167,"TWIST1",7.6485
"TCGA-CH-5790-01",0.72167,"SNAI1",5.0004
"TCGA-CH-5791-01",0.64937,"MMP9",7.8281
"TCGA-CH-5791-01",0.64937,"MMP2",9.8864
"TCGA-CH-5791-01",0.64937,"MAPK3",9.6781
"TCGA-CH-5791-01",0.64937,"MAPK1",11.5252
"TCGA-CH-5791-01",0.64937,"TWIST1",7.7803
"TCGA-CH-5791-01",0.64937,"SNAI1",3.8184
"TCGA-CH-5792-01",0.53073,"MMP9",8.2397
"TCGA-CH-5792-01",0.53073,"MMP2",11.5121
"TCGA-CH-5792-01",0.53073,"MAPK3",10.3619
"TCGA-CH-5792-01",0.53073,"MAPK1",11.7943
"TCGA-CH-5792-01",0.53073,"TWIST1",6.7146
"TCGA-CH-5792-01",0.53073,"SNAI1",5.8428
"TCGA-CH-5794-01",0.62973,"MMP9",8.3159
"TCGA-CH-5794-01",0.62973,"MMP2",9.8932
"TCGA-CH-5794-01",0.62973,"MAPK3",10.0677
"TCGA-CH-5794-01",0.62973,"MAPK1",11.6033
"TCGA-CH-5794-01",0.62973,"TWIST1",8.0066
"TCGA-CH-5794-01",0.62973,"SNAI1",5.9728
"TCGA-EJ-5494-01",0.66311,"MMP9",8.4896
"TCGA-EJ-5494-01",0.66311,"MMP2",11.3131
