"sample_id","SERPINB1_Beta"
"TCGA-HC-A632-01",0.47752
"TCGA-HC-A6AL-01",0.64857
"TCGA-HC-A6AN-01",0.66589
"TCGA-HC-A6AO-01",0.72135
"TCGA-HC-A6AP-01",0.49513
"TCGA-HC-A6AQ-01",0.59361
"TCGA-HC-A6AS-01",0.54086
"TCGA-HC-A6HX-01",0.35364
"TCGA-HC-A6HY-01",0.46368
"TCGA-HC-A76W-01",0.58117
"TCGA-HC-A76X-01",0.7463
"TCGA-HC-A8CY-01",0.60001
"TCGA-HC-A8D0-01",0.39457
"TCGA-HC-A8D1-01",0.39227
"TCGA-HC-A9TE-01",0.57778
"TCGA-HC-A9TH-01",0.47642
"TCGA-HI-7168-01",0.63136
"TCGA-HI-7169-01",0.60223
"TCGA-HI-7170-01",0.53958
"TCGA-HI-7171-01",0.77754
"TCGA-J4-8198-01",0.64051
"TCGA-J4-8200-01",0.52364
"TCGA-J4-A67K-01",0.59289
"TCGA-J4-A67L-01",0.5786
"TCGA-J4-A67M-01",0.49891
"TCGA-J4-A67N-01",0.67114
"TCGA-J4-A67O-01",0.46946
"TCGA-J4-A67Q-01",0.54614
"TCGA-J4-A67R-01",0.49105
"TCGA-J4-A67S-01",0.58874
"TCGA-J4-A67T-01",0.63278
"TCGA-J4-A6G1-01",0.31948
"TCGA-J4-A6G3-01",0.37224
"TCGA-J4-A6M7-01",0.74297
"TCGA-J4-A83I-01",0.68562
"TCGA-J4-A83J-01",0.63854
"TCGA-J4-A83K-01",0.60761
"TCGA-J4-A83L-01",0.57473
"TCGA-J4-A83M-01",0.657
"TCGA-J4-A83N-01",0.67883
"TCGA-J4-AATV-01",0.40818
"TCGA-J4-AATZ-01",0.6654
"TCGA-J4-AAU2-01",0.70167
"TCGA-J9-A52B-01",0.62204
"TCGA-J9-A52C-01",0.44943
"TCGA-J9-A52D-01",0.90348
"TCGA-J9-A52E-01",0.58605
"TCGA-J9-A8CK-01",0.47566
"TCGA-J9-A8CL-01",0.61512
"TCGA-J9-A8CM-01",0.57273
"TCGA-J9-A8CN-01",0.77503
"TCGA-J9-A8CP-01",0.58149
"TCGA-KC-A4BL-01",0.37473
"TCGA-KC-A4BN-01",0.58509
"TCGA-KC-A4BO-01",0.16648
"TCGA-KC-A4BR-01",0.29716
"TCGA-KC-A4BV-01",0.63
"TCGA-KC-A7F3-01",0.57678
"TCGA-KC-A7F5-01",0.85289
"TCGA-KC-A7F6-01",0.6533
"TCGA-KC-A7FA-01",0.46216
"TCGA-KC-A7FD-01",0.73793
"TCGA-KC-A7FE-01",0.38362
"TCGA-KK-A59V-01",0.55097
"TCGA-KK-A59X-01",0.78446
"TCGA-KK-A59Y-01",0.74773
"TCGA-KK-A59Z-01",0.76413
"TCGA-KK-A5A1-01",0.83391
"TCGA-KK-A6DY-01",0.62371
"TCGA-KK-A6E0-01",0.6985
"TCGA-KK-A6E1-01",0.7346
"TCGA-KK-A6E2-01",0.80551
"TCGA-KK-A6E3-01",0.57538
"TCGA-KK-A6E4-01",0.72915
"TCGA-KK-A6E5-01",0.67178
"TCGA-KK-A6E6-01",0.65028
"TCGA-KK-A6E7-01",0.64985
"TCGA-KK-A6E8-01",0.77094
"TCGA-KK-A7AP-01",0.78534
"TCGA-KK-A7AQ-01",0.72393
"TCGA-KK-A7AU-01",0.78912
"TCGA-KK-A7AV-01",0.52451
"TCGA-KK-A7AW-01",0.6446
"TCGA-KK-A7AY-01",0.67838
"TCGA-KK-A7AZ-01",0.31406
"TCGA-KK-A7B0-01",0.40811
"TCGA-KK-A7B1-01",0.53636
"TCGA-KK-A7B2-01",0.38474
"TCGA-KK-A7B3-01",0.65968
"TCGA-KK-A7B4-01",0.67645
"TCGA-KK-A8I4-01",0.41359
"TCGA-KK-A8I5-01",0.72685
"TCGA-KK-A8I6-01",0.53913
"TCGA-KK-A8I7-01",0.35459
"TCGA-KK-A8I8-01",0.64366
"TCGA-KK-A8I9-01",0.55728
"TCGA-KK-A8IA-01",0.74955
"TCGA-KK-A8IB-01",0.43265
"TCGA-KK-A8IC-01",0.35168
"TCGA-KK-A8ID-01",0.7392
"TCGA-KK-A8IF-01",0.88102
"TCGA-KK-A8IG-01",0.56913
"TCGA-KK-A8IH-01",0.64783
"TCGA-KK-A8II-01",0.8516
"TCGA-KK-A8IJ-01",0.59526
"TCGA-KK-A8IK-01",0.10245
"TCGA-KK-A8IL-01",0.60033
